Accession ID,Collection date,Submission date,Location,PozicijeRazlika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_678394,10/8/2020,12/7/2020,Europe / Hungary / Borsod-Abauj-Zemplen County,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,242,4544,5630,9527,11498,12971,13994,14409,15767,16890,17020,18878,22993,23404,24622,25564,25711,26736,26877,27410,28976,29400,29428,30044,30045,30046,30047,30048,30049,30050,30051,30052,30053,30054,30055,30056,30057,30058,30059,30060,30061,30062,30063,30064,30065,30066,30067,30068,30069,30070,30071,30072,30073,30074,30075,30076,30077,30078,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_678395,10/8/2020,12/7/2020,Europe / Hungary / Borsod-Abauj-Zemplen County,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,242,4544,5630,7393,9527,11498,11843,13994,14409,15767,16847,16890,17020,18878,20848,22993,23404,25564,25594,25711,26736,26877,28976,29400,29428,30044,30045,30046,30047,30048,30049,30050,30051,30052,30053,30054,30055,30056,30057,30058,30059,30060,30061,30062,30063,30064,30065,30066,30067,30068,30069,30070,30071,30072,30073,30074,30075,30076,30077,30078,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_678396,10/8/2020,12/7/2020,Europe / Hungary / Borsod-Abauj-Zemplen County,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,242,1163,4003,7393,10098,11336,12514,13537,14409,18034,21111,23404,23732,25625,28433,28882,28883,28884,30044,30045,30046,30047,30048,30049,30050,30051,30052,30053,30054,30055,30056,30057,30058,30059,30060,30061,30062,30063,30064,30065,30066,30067,30068,30069,30070,30071,30072,30073,30074,30075,30076,30077,30078,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_826269,1/7/2021,1/15/2021,Europe / Hungary / Hajdu-Bihar County,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,242,914,3038,3268,5389,5987,6955,7574,11289,11290,11291,11292,11293,11294,11295,11296,11297,14409,14677,15097,15280,16177,21766,21767,21768,21769,21770,21771,21992,21993,21994,23064,23272,23404,23605,23710,24507,24915,27973,28049,28096,28112,28272,28281,28282,28283,28882,28883,28884,28978,30044,30045,30046,30047,30048,30049,30050,30051,30052,30053,30054,30055,30056,30057,30058,30059,30060,30061,30062,30063,30064,30065,30066,30067,30068,30069,30070,30071,30072,30073,30074,30075,30076,30077,30078,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_826270,1/8/2021,1/15/2021,Europe / Hungary / Hajdu-Bihar County,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,242,914,3038,3268,5389,5987,6955,11289,11290,11291,11292,11293,11294,11295,11296,11297,14409,14677,15097,15280,16177,18412,21766,21767,21768,21769,21770,21771,21992,21993,21994,23064,23272,23404,23605,23710,24507,24915,27973,28049,28096,28112,28272,28281,28282,28283,28882,28883,28884,28978,30044,30045,30046,30047,30048,30049,30050,30051,30052,30053,30054,30055,30056,30057,30058,30059,30060,30061,30062,30063,30064,30065,30066,30067,30068,30069,30070,30071,30072,30073,30074,30075,30076,30077,30078,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625903,1/3/2022,2/7/2022,Europe / Hungary / Fejer,211,242,3038,3744,3797,4182,6403,6642,7125,7163,8987,9054,10030,11202,11333,14409,15452,15953,16467,19221,20226,21619,21988,22030,22031,22032,22033,22034,22035,22918,22996,23404,23605,24411,25470,25495,26768,27639,27753,27875,28249,28250,28251,28252,28253,28254,28272,28300,28462,28882,28917,29403,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625907,1/6/2022,2/7/2022,Europe / Hungary / Veszprem County,211,242,3038,3046,4182,5231,5654,6403,6848,7125,7852,8107,8987,9054,10030,11202,11333,14409,15452,15756,16339,16467,16623,17401,19221,21619,21812,21847,21988,22030,22031,22032,22033,22034,22035,22918,22996,23404,23605,24411,25470,26768,27639,27723,27753,27875,28249,28250,28251,28252,28253,28254,28272,28462,28882,28917,29403,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625917,1/11/2022,2/7/2022,Europe / Hungary / Borsod-Abauj-Zemplen County,211,242,1913,2111,3038,4182,6403,6841,7125,7852,8987,9054,10030,10324,11202,11333,14409,14704,14883,15452,16467,17734,19221,20579,21619,21847,21969,21970,21987,21988,21991,22030,22031,22032,22033,22034,22035,22918,22996,23115,23404,23605,24411,25338,25470,26768,27639,27753,27875,28249,28250,28251,28252,28253,28254,28272,28462,28882,28917,29333,29403,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625924,11/15/2021,2/7/2022,Europe / Hungary,211,242,3038,3141,4067,4182,6403,6628,7125,7852,8138,8654,8987,9054,10030,11202,11333,12514,14409,15452,15825,16467,17041,19221,19956,21619,21847,21988,22030,22031,22032,22033,22034,22035,22918,22996,23404,23605,24411,25470,26768,27639,27753,27875,28249,28250,28251,28252,28253,28254,28272,28462,28882,28917,29403,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625925,11/15/2021,2/7/2022,Europe / Hungary,211,242,1049,3038,4182,6403,7125,8987,9054,10030,11202,11333,14179,14188,14409,15452,16467,19221,20610,20983,21619,21988,22030,22031,22032,22033,22034,22035,22918,22996,23404,23594,23605,24411,25470,25691,26768,26803,27528,27639,27753,27875,28249,28250,28251,28252,28253,28254,28272,28462,28882,28917,29403,29767,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625926,11/16/2021,2/7/2022,Europe / Hungary,211,242,1049,2936,3038,3875,4182,6403,7125,8987,9054,10030,11202,11333,11837,14179,14188,14409,15452,16467,17111,19221,20610,20983,21619,21988,22030,22031,22032,22033,22034,22035,22918,22929,22996,23404,23594,23605,24411,25470,25691,26768,26803,27528,27639,27753,27875,28249,28250,28251,28252,28253,28254,28272,28462,28882,28897,28917,29403,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625927,11/16/2021,2/7/2022,Europe / Hungary,211,242,836,2601,3038,4182,6403,7125,7852,8987,9054,10030,11202,11333,14409,15452,16467,19221,21619,21847,21988,22030,22031,22032,22033,22034,22035,22918,22996,23404,23502,23605,23639,24411,25470,25818,26768,27639,27753,27875,28249,28250,28251,28252,28253,28254,28272,28462,28882,28917,29403,29773,29798,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625928,11/17/2021,2/7/2022,Europe / Hungary,211,242,3038,3517,4182,4229,6403,7001,7125,8987,9054,9694,10030,11202,11333,12050,14409,15452,15953,16467,18745,19164,19221,21619,21988,22030,22031,22032,22033,22034,22035,22625,22918,22996,23404,23605,24411,25470,26768,27639,27753,27875,28249,28250,28251,28252,28253,28254,28272,28300,28462,28882,28917,29403,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625929,11/18/2021,2/7/2022,Europe / Hungary,211,242,836,3038,4182,4283,4754,6403,7125,7852,8987,9054,10030,10370,11202,11333,14409,15452,16467,19221,21305,21619,21847,21988,22030,22031,22032,22033,22034,22035,22918,22996,23404,23605,23639,24411,24795,25470,25818,26768,27639,27753,27875,28249,28250,28251,28252,28253,28254,28272,28462,28882,28917,29356,29403,29773,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625930,11/18/2021,2/7/2022,Europe / Hungary,211,242,3038,4182,4892,6403,7125,8951,8987,9054,10030,10982,11202,11333,14409,15241,15325,15452,15953,16467,18745,19221,21619,21988,22030,22031,22032,22033,22034,22035,22918,22996,23404,23605,24411,25346,25470,26691,26768,27639,27753,27875,27973,28249,28250,28251,28252,28253,28254,28272,28300,28462,28882,28917,29403,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625931,11/18/2021,2/7/2022,Europe / Hungary,175,211,242,3038,4182,6403,7125,8987,9054,10030,11202,11333,14409,15452,15953,16467,17119,19221,21619,21988,22001,22030,22031,22032,22033,22034,22035,22918,22996,23404,23605,24411,25470,26768,27639,27753,27875,28249,28250,28251,28252,28253,28254,28272,28300,28462,28882,28917,29403,29777,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625932,11/19/2021,2/7/2022,Europe / Hungary,211,242,1049,1689,1927,3038,4182,5285,6182,6403,7125,8987,9054,10030,11202,11333,14409,15164,15452,16467,19221,20490,21619,21988,22030,22031,22032,22033,22034,22035,22784,22918,22996,23404,23605,24411,25470,26768,27527,27528,27639,27753,27875,28249,28250,28251,28252,28253,28254,28272,28462,28882,28917,29403,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625933,11/19/2021,2/7/2022,Europe / Hungary,211,242,3038,4182,6403,7125,7489,7667,7713,8987,9054,10030,10451,11202,11333,14409,15452,15953,16467,18745,19221,20430,21619,21988,22030,22031,22032,22033,22034,22035,22918,22996,23404,23605,24411,25470,26682,26768,27391,27639,27753,27875,28249,28250,28251,28252,28253,28254,28272,28300,28462,28882,28917,29250,29403,29819,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625934,11/20/2021,2/7/2022,Europe / Hungary,211,242,3038,4182,6403,7125,8987,9054,10030,11202,11333,14409,15452,16467,17978,18745,19221,21619,21988,22030,22031,22032,22033,22034,22035,22918,22996,23404,23605,24411,25470,26768,27528,27639,27753,27875,27880,28249,28250,28251,28252,28253,28254,28272,28462,28882,28917,29250,29403,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625935,11/29/2021,2/7/2022,Europe / Hungary,211,226,242,3038,4182,6403,6718,7125,8987,9054,10030,11202,11333,14409,15452,15953,16467,18497,18745,19221,21142,21619,21657,21988,22030,22031,22032,22033,22034,22035,22918,22996,23404,23605,24369,24411,25346,25470,25627,26768,27639,27753,27875,27973,28249,28250,28251,28252,28253,28254,28272,28300,28462,28882,28917,28923,29403,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625936,11/30/2021,2/7/2022,Europe / Hungary,211,242,1049,3038,4182,6403,7125,8987,9054,9651,10030,11110,11202,11333,14409,15452,16467,17605,18087,19221,21619,21988,22030,22031,22032,22033,22034,22035,22918,22996,23404,23605,24411,24581,25470,25686,26448,26768,27528,27639,27753,27875,28002,28249,28250,28251,28252,28253,28254,28272,28462,28882,28917,29237,29403,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625937,11/30/2021,2/7/2022,Europe / Hungary,211,242,3038,4182,4229,6403,7001,7125,8987,9054,9694,10030,11202,11333,14409,15452,15953,16467,18745,19221,21619,21988,22030,22031,22032,22033,22034,22035,22918,22996,23404,23605,24411,25470,26722,26768,27639,27753,27875,28249,28250,28251,28252,28253,28254,28272,28300,28462,28882,28917,29403,29510,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625938,12/1/2021,2/7/2022,Europe / Hungary,211,242,3038,3647,4182,5047,6403,7125,7852,8987,9054,10030,10117,11202,11333,12770,14409,15452,15983,16467,17680,19221,21292,21619,21847,21988,22030,22031,22032,22033,22034,22035,22202,22918,22996,23404,23605,24411,25338,25470,26768,27639,27753,27875,28249,28250,28251,28252,28253,28254,28272,28462,28882,28917,29403,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625939,12/3/2021,2/7/2022,Europe / Hungary,211,242,800,3038,4182,6403,6621,7125,7610,8987,9054,10030,11202,11333,14409,15452,15953,16467,19221,21619,21988,22030,22031,22032,22033,22034,22035,22105,22918,22996,23404,23605,24411,25470,26612,26768,27639,27753,27875,28249,28250,28251,28252,28253,28254,28272,28300,28462,28882,28917,29403,29799,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPI_ISL_9625940,12/3/2021,2/7/2022,Europe / Hungary,211,242,2389,2831,3038,4182,6403,7125,8657,8987,9054,10030,11202,11333,14409,15452,16467,17945,19221,20723,21619,21790,21847,21988,22030,22031,22032,22033,22034,22035,22918,22996,23404,23605,24189,24200,24411,25470,25579,26768,27530,27639,27667,27676,27753,27875,28249,28250,28251,28252,28253,28254,28272,28462,28882,28917,29403,29819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
